Date,rain,SM,ExcS,ExcI,R,R_Obs
1987/01/13:00,0,0.208736307997729,0,0,0,-9999
1987/01/13:01,0,0.208736265372769,0,0,0,-9999
1987/01/13:02,0,0.208736224494386,0,0,0,0
1987/01/13:03,0,0.208736184980749,0,0,0,0
1987/01/13:04,0,0.208736144245608,0,0,0,0
1987/01/13:05,0,0.208736094460775,0,0,0,0
1987/01/13:06,0.000435113761341199,0.208736039389667,0,0,0,0
1987/01/13:07,6.64752904930163e-05,0.208735981327839,0,0,0,0
1987/01/13:08,0.000527176701619138,0.208735920191552,0,0,0,0
1987/01/13:09,0.004017587308046,0.208735858116852,0,0,0,0
1987/01/13:10,0.0106964647518266,0.208735797722382,0,0,0,0
1987/01/13:11,0.0325395444266372,0.208735747200343,0,0,0,0
1987/01/13:12,0.0266823264565108,0.208735694802414,0,0,0,0
1987/01/13:13,0.0314400229163913,0.208735648632426,0,0,0,0
1987/01/13:14,0.0121092638728613,0.208735601872575,0,0,0,0
1987/01/13:15,0.0130132402058055,0.208735557026059,0,0,0,0
1987/01/13:16,0.0226700448649671,0.208735513829207,0,0,0,0
1987/01/13:17,0.0259574121753009,0.208735471582467,0,0,0,0
1987/01/13:18,0.106290003435855,0.208754623954926,2.09347514320929e-05,0,0,0
1987/01/13:19,0.0483599907940178,0.208756943288919,1.98485903012203e-05,0,0,0
1987/01/13:20,0.0389527633414933,0.208760111754517,4.47238623962971e-05,0,0,0
1987/01/13:21,0.0663061690213973,0.208762489261541,3.32830424940908e-05,0,0,0
1987/01/13:22,0.113800721903025,0.208770182929812,3.01347048046447e-05,0,0,0
1987/01/13:23,0.197614929718989,0.208790399197703,5.5684010788693e-05,0,0,0
1987/01/14:00,0.19053289739523,0.208832070260908,9.45378968158192e-05,0,0,0
1987/01/14:01,0.298170758306178,0.208904587939913,0.000136084415598946,0,0,0
1987/01/14:02,0.363040390622545,0.209031267235931,0.00021553168180217,0,0,0
1987/01/14:03,0.545710899916254,0.20931436139377,0.000426124376213148,0,0,0
1987/01/14:04,0.566004819133437,0.2096052083758,0.000530303500425778,0,0,0
1987/01/14:05,0.380745974212251,0.209658484811929,0.000157253986996628,0,0,0
1987/01/14:06,0.756882817442708,0.210191697792306,0.000816615458530811,0,0,0
1987/01/14:07,0.524706413300139,0.210428427368019,0.000359546314620016,0,0,0
1987/01/14:08,0.138814470926842,0.21042695901167,5.12917569696784e-07,0,0,0
1987/01/14:09,0.045476591519685,0.21042385869865,0,0,0,0
1987/01/14:10,0.214301797806035,0.210473060552932,3.43481796630073e-05,0,0,0
1987/01/14:11,0.368141237548495,0.210640609743272,0.000311778677977647,0,0,0
1987/01/14:12,0.384754585043735,0.210830862056121,0.000516042168533943,0,0,0
1987/01/14:13,0.239665218728249,0.210885484076425,0.00010780949898234,0,5.61159357907923e-05,0
1987/01/14:14,0.261869006304201,0.21098709688415,0.000122198198059519,0,0.000116370352973194,0
1987/01/14:15,0.295313690797238,0.211179603538794,0.0001505180739383,0,0.000175432209476357,0
1987/01/14:16,0.051630273148785,0.211183750061477,9.34631490504987e-07,0,0.000231299334917178,0
1987/01/14:17,1.16461952976423e-06,0.211180690132127,0,0,0.000283387602838642,0
1987/01/14:18,0,0.211177864703067,0,0,0.000331696937796444,50
1987/01/14:19,0,0.211175269538317,0,0,0.000376450079153466,100
1987/01/14:20,0,0.21117287680523,0,0,0.000417938499048741,265.53
1987/01/14:21,5.57878032698654e-06,0.211170643037646,0,0,0.00045645875196813,137.4
1987/01/14:22,0,0.211168538905274,0,0,0.000492288010207872,52.8
1987/01/14:23,0,0.211166544258106,0,0,0.000525676328669291,35
1987/01/15:00,0,0.211165095511611,0,0,0.00055684583431769,25.8
1987/01/15:01,0,0.211163698406907,0,0,0.00058599259042442,20.5
1987/01/15:02,0,0.211162349197416,0,0,0.000613289320004962,16.5
1987/01/15:03,0,0.211161041941451,0,0,0.00063888823579899,14.1
1987/01/15:04,0,0.211159665298567,0,0,0.000662923684972461,13
1987/01/15:05,0,0.211157808961066,0,0,0.000685514513689246,0
1987/01/15:06,0,0.211155309336238,0,0,0.000706766138443492,0
1987/01/15:07,0,0.211152387780247,0,0,0.000726772342825747,0
1987/01/15:08,0.000427663209848106,0.211149208590085,0,0,0.000745616828816797,0
1987/01/15:09,0,0.211145854716478,0,0,0.000763374553252662,0
1987/01/15:10,0.00085979700088501,0.211142320525632,0,0,0.00078011287819807,0
1987/01/15:11,0.000435113848652691,0.211138684304966,0,0,0.000795892560919865,0
1987/01/15:12,0,0.211135027316125,0,0,0.00081076860592831,0
