Date,rain,SM,ExcS,ExcI,R,R_Obs
1987/01/10:00,0.0162605137786872,0.208655446896022,0,0,0,-9999
1987/01/10:01,0.0338869371112042,0.208655744024814,2.75910434663733e-07,0,0,-9999
1987/01/10:02,0.0564747719677622,0.208658536365106,9.17137746007539e-07,0,0,-9999
1987/01/10:03,0.0716170831230936,0.208668142406544,5.24965587182762e-06,0,2.0568976455133e-09,-9999
1987/01/10:04,0.0860745785511503,0.208677805230797,6.33142321177524e-06,0,9.58551810166515e-07,-9999
1987/01/10:05,0.10705506127048,0.208702873302355,2.17783106556253e-05,0,7.08770979503661e-06,-9999
1987/01/10:06,0.122625040161587,0.208713945496306,1.09112372412368e-05,0,1.34179874847678e-05,-9999
1987/01/10:07,0.169554764430245,0.208735120470841,2.05865663288634e-05,0,2.1826127486199e-05,-9999
1987/01/10:08,0.150075565753335,0.208738451641088,1.65480141734394e-06,0,3.42964246685662e-05,-9999
1987/01/10:09,0.181906176927111,0.208740138580192,6.3284001308323e-06,0,4.6634792726108e-05,-9999
1987/01/10:10,0.198931238675764,0.208741815094147,5.91881163666013e-06,0,6.00205481973775e-05,-9999
1987/01/10:11,0.0619040576797073,0.208741637647728,0,0,7.43488194245588e-05,-9999
1987/01/10:12,0.049722369175688,0.208741485616257,0,0,8.81842965006464e-05,-9999
1987/01/10:13,0.0132554387133552,0.208741362989522,0,0,0.000101539319881624,-9999
1987/01/10:14,0.000878668174274496,0.208741262772097,0,0,0.00011442595894827,-9999
1987/01/10:15,7.90337828248852e-05,0.208741162168711,0,0,0.000126856017525567,-9999
1987/01/10:16,0,0.208741065143099,0,0,0.000138841039295541,-9999
1987/01/10:17,0,0.20874097203896,0,0,0.00015039231310549,-9999
1987/01/10:18,8.44675918392033e-05,0.208740883498926,0,0,0.000161520878173551,-9999
1987/01/10:19,0.00062618204867483,0.208740798508043,0,0,0.000172237529193503,-9999
1987/01/10:20,3.23721320358738e-05,0.208740716366761,0,0,0.00018255282134067,-9999
1987/01/10:21,6.39014533386515e-07,0.208740637089116,0,0,0.000192477075180772,-9999
1987/01/10:22,0,0.208740559076947,0,0,0.000202020381483502,-9999
1987/01/10:23,0,0.208740480704394,0,0,0.000211192605942637,-9999
1987/01/11:00,0.000653276202738181,0.208740408779107,0,0,0.000220003393804374,-9999
1987/01/11:01,0.0018972406294626,0.208740336478339,0,0,0.000228462174405648,-9999
1987/01/11:02,9.18806656796146e-05,0.208740264460809,0,0,0.000236578165624063,-9999
1987/01/11:03,0.000113777434049002,0.208740193629431,0,0,0.000244360378241122,-9999
1987/01/11:04,0.000319403878707223,0.208740121383789,0,0,0.000251817620220344,-9999
1987/01/11:05,0,0.208740038257052,0,0,0.000258958500901871,-9999
1987/01/11:06,0.0002289911887846,0.208739942586932,0,0,0.000265791435115126,-9999
1987/01/11:07,4.94942135541744e-10,0.208739839053989,0,0,0.000272324647211039,-9999
1987/01/11:08,8.98177813878586e-10,0.208739727392343,0,0,0.00027856617501537,-9999
1987/01/11:09,0.000428084107045186,0.208739610700348,0,0,0.000284523873704581,-9999
1987/01/11:10,9.38386751708755e-05,0.208739491347156,0,0,0.000290205419605718,-9999
1987/01/11:11,0.00154739176312193,0.208739372214639,0,0,0.000295618313921738,-9999
1987/01/11:12,1.30250726991001e-07,0.208739255536511,0,0,0.000300769886383658,-9999
1987/01/11:13,4.24320581319875e-05,0.208739142895578,0,0,0.000305667298830918,-9999
1987/01/11:14,0.000223716608487883,0.208739036488724,0,0,0.000310317548721299,-9999
1987/01/11:15,9.6409221033687e-09,0.20873893369474,0,0,0.000314727472571721,-9999
1987/01/11:16,0.00045802861823769,0.208738829685326,0,0,0.000318903749331217,-9999
1987/01/11:17,0.00240640618835895,0.208738727345451,0,0,0.000322852903687377,-9999
1987/01/11:18,0.0103467954442311,0.208738640709419,0,0,0.000326581309307492,-9999
1987/01/11:19,0.00153993287702626,0.208738548384798,0,0,0.000330095192015641,-9999
1987/01/11:20,8.67291865526473e-07,0.208738463391833,0,0,0.000333400632906943,-9999
1987/01/11:21,0,0.208738383690704,0,0,0.00033650357140013,-9999
1987/01/11:22,0,0.208738307588195,0,0,0.000339409808229634,-9999
1987/01/11:23,0,0.20873823400386,0,0,0.000342125008378322,-9999
1987/01/12:00,0,0.208738174023524,0,0,0.000344654703951999,-9999
1987/01/12:01,0,0.208738114964043,0,0,0.000347004296996788,-9999
1987/01/12:02,0,0.208738057833405,0,0,0.000349179062260463,-9999
1987/01/12:03,0,0.208738002658404,0,0,0.000351184149898812,-9999
1987/01/12:04,0,0.208737945880803,0,0,0.000353024588128051,-9999
1987/01/12:05,0,0.20873787327544,0,0,0.000354705285824338,-9999
1987/01/12:06,0.000427663180744275,0.208737790451633,0,0,0.000356231035071379,-9999
1987/01/12:07,0,0.208737700493963,0,0,0.000357606513657112,-9999
1987/01/12:08,7.52495108322045e-06,0.208737604168666,0,0,0.000358836287520453,-9999
1987/01/12:09,1.26947874392941e-05,0.208737502367447,0,0,0.000359924813149035,-9999
1987/01/12:10,7.91871652431817e-06,0.208737397558681,0,0,0.000360876439928894,-9999
1987/01/12:11,1.06664236766203e-06,0.208737292453942,0,0,0.000361695412447009,-9999
1987/01/12:12,0.000576917451639136,0.208737191779866,0,0,0.000362385872747599,-9999
1987/01/12:13,0.00210528568168378,0.208737098550594,0,0,0.000362951862543056,-9999
1987/01/12:14,0.000139987668097818,0.208737012595986,0,0,0.000363397325380395,-9999
1987/01/12:15,0.00128701717926209,0.208736929866324,0,0,0.000363726108764058,-9999
1987/01/12:16,0.00154112200520561,0.208736846127286,0,0,0.000363941966235916,-9999
1987/01/12:17,0.0070438488284894,0.208736760120202,0,0,0.000364048559413288,-9999
1987/01/12:18,0.00364174669263026,0.208736680356965,0,0,0.000364049459985789,-9999
1987/01/12:19,0.00335109832187592,0.208736605748317,0,0,0.000363948151671782,-9999
1987/01/12:20,0.000347718416562482,0.208736535810852,0,0,0.000363748032135226,-9999
1987/01/12:21,0,0.208736469520983,0,0,0.00036345241486368,-9999
1987/01/12:22,0,0.208736408478361,0,0,0.000363064531008198,-9999
1987/01/12:23,1.09645495799572e-06,0.208736352029944,0,0,0.00036258753118587,-9999
1987/01/13:00,0,0.208736307997729,0,0,0.000362024487245705,-9999
1987/01/13:01,0,0.208736265372769,0,0,0.000361378393998588,-9999
1987/01/13:02,0,0.208736224494386,0,0,0.000360652170911985,-9999
1987/01/13:03,0,0.208736184980749,0,0,0.000359848663770094,-9999
1987/01/13:04,0,0.208736144245608,0,0,0.000358970646300089,-9999
1987/01/13:05,0,0.208736094460775,0,0,0.000358020821765145,-9999
1987/01/13:06,0.000435113761341199,0.208736039389667,0,0,0.000357001824524851,-9999
1987/01/13:07,6.64752904930163e-05,0.208735981327839,0,0,0.000355916221563674,-9999
1987/01/13:08,0.000527176701619138,0.208735920191552,0,0,0.000354766513988081,-9999
1987/01/13:09,0.004017587308046,0.208735858116852,0,0,0.000353555138492921,-9999
1987/01/13:10,0.0106964647518266,0.208735797722382,0,0,0.000352284468797681,-9999
1987/01/13:11,0.0325395444266372,0.208735747200343,0,0,0.000350956817053191,-9999
1987/01/13:12,0.0266823264565108,0.208735694802414,0,0,0.000349574435219354,-9999
1987/01/13:13,0.0314400229163913,0.208735648632426,0,0,0.000348139516414472,-9999
1987/01/13:14,0.0121092638728613,0.208735601872575,0,0,0.000346654196236714,-9999
1987/01/13:15,0.0130132402058055,0.208735557026059,0,0,0.000345120554058279,-9999
1987/01/13:16,0.0226700448649671,0.208735513829207,0,0,0.000343540614292775,-9999
1987/01/13:17,0.0259574121753009,0.208735471582467,0,0,0.000341916347636355,-9999
