datetime,discharge
198512180030,0
198512180130,0
198512180230,0
198512180330,0
198512180430,0
198512180530,0
198512180630,0
198512180730,0
198512180830,0
198512180930,0
198512181030,0
198512181130,0
198512181230,0
198512181330,0
198512181430,0
198512181530,0
198512181630,0
198512181730,0
198512181830,0
198512181930,0
198512182030,0
198512182130,0
198512182230,0
198512182330,0
198512190030,0
198512190130,0
198512190230,31.81
198512190330,73.15
198512190430,20.54
198512190530,3.553421275
198512190630,1.466450094
198512190730,0.244405047
198512190830,0
198512190930,0
198512191030,0
198512191130,0
198512191230,0
198512191330,0
198512191430,0
198512191530,0
198512191630,0
198512191730,0
198512191830,0
198512191930,0
198512192030,0
198512192130,0
198512192230,0
198512192330,0
198512200030,0
198512200130,0
198512200230,0
198512200330,0
198512200430,0
198512200530,0
198512200630,0
198512200730,0
198512200830,0
198512200930,0
198512201030,0
198512201130,0
198512201230,0
